,productsListId,name,productName,url,stock,priceWithGST,createdAt,companyName,runtime
47,54,GY-302 BH1750 Light Intensity Module,GY-302 BH1750 Light Intensity Module,https://robu.in/product/gy-302-bh1750-light-intensity-module/,0,80,27-04-2024,ROBU,1
48,55,PL2303HXD 6Pin USB TTL RS232 Convert Serial Cable,PL2303HXD 6Pin USB TTL RS232 Convert Serial Cable,https://robu.in/product/pl2303hxd-6pin-usb-ttl-rs232-convert-serial-cable/,44,217,27-04-2024,ROBU,1
49,60,M5 Stack ESP32 Basic Core IoT Development Kit,M5Stack ESP32 Basic Core IoT Development Kit V2.6,https://robu.in/product/esp32-basic-core-iot-development-kit/,0,3869,27-04-2024,ROBU,1
50,61,M5 Stack ATOM Lite ESP32 Development Kit,M5 Stack ATOM Lite,https://robu.in/product/atom-lite-esp32-development-kit/,6,839,27-04-2024,ROBU,1
51,62,M5Stack Stamp Pico Mate with Pin Headers,M5Stamp Pico Mate with Pin Headers,https://robu.in/product/m5stack-m5stamp-pico-mate-with-pin-headers/,22,569,27-04-2024,ROBU,1
52,63,M5Stack M5StickV K210 AI Camera (Without Wifi),M5StickV K210 AI Camera (without wifi),https://robu.in/product/m5stickv-k210-ai-camera-without-wifi/,6,5499,27-04-2024,ROBU,1
53,64,M5STACK FIRE IoT Development Kit (PSRAM 2.0) V2.6,M5Stack FIRE IoT Development Kit (PSRAM) V2.6,https://robu.in/product/m5stack-fire-iot-development-kit-psram-2-0/,9,5699,27-04-2024,ROBU,1
54,66,74LS76 Dual JK Flip-Flop with Set and Clear IC DIP-16 Package,74HC76 - Dual JK Flip-Flop with Set and Clear IC,https://robu.in/product/74hc107d653-dual-jk-flip-flop-negative-edge-trigger-smd-so14-nexperia/,0,49,27-04-2024,ROBU,1
55,67,74HC138 3-to-8 line Decoder/Demultiplexer IC (74138 IC) DIP-16 Package,74HC138 - 3-to-8 line Decoder/Demultiplexer IC,https://robu.in/product/74hc138-3-to-8-line-decoder-demultiplexer-ic-74138-ic-dip-16-package/,10,35,27-04-2024,ROBU,1
56,71,DIY Mini Cat Line Follower Tracking Robot,DIY Mini Cat Tracking Robot,https://robu.in/product/diy-mini-cat-tracking-robot-in-paper-box/,28,583,27-04-2024,ROBU,1
57,72,DIY Wind Power Car Educational Kit for kids Science Fun Toy,DIY Wind Power Car Educational Kit,https://robu.in/product/diy-wind-power-car-educational-kit-for-kids-science-fun-toy/,0,285,27-04-2024,ROBU,1
58,74,I2C Bi-Directional Logic Level Converter- 2 Channel,"2 Channel Logic Level Converter (I2C, UART, 5V-3.3V)",https://robu.in/product/i2c-bi-directional-logic-level-converter-2-channel/,255,20,27-04-2024,ROBU,1
